"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","mindur","maxdur","deaths","intside","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"406","2","USA","1918","10","17","1920","5","19","-999","-999","-999","-999","-999","-999","581","581","28","0","0","3","103208","2897","1","0","0","0","0","0","3","83","98","98","2087","3169","2348"
"408","200","UKG","1919","5","-999","1919","8","8","-999","-999","-999","-999","-999","-999","70","100","1000","0","0","3","46608","1333","0","0","0","0","1","0","3","236","236","236","1236","1236","1236"
"409","220","FRN","1920","-999","-999","1920","-999","-999","-999","-999","-999","-999","-999","-999","1","366","5000","0","0","4","39000","1457","0","0","0","1","0","0","3","-999","-999","-999","5000","5000","5000"
"410","200","UKG","1920","6","-999","1921","-999","-999","-999","-999","-999","-999","-999","-999","186","579","2000","0","0","4","46821","596","0","0","0","1","0","0","3","426","426","426","8876","8876","8876"
"412","325","ITA","1920","6","-999","1932","7","-999","-999","-999","-999","-999","-999","-999","4385","4444","5000","0","0","1","37718","840","0","0","0","1","0","0","3","5000","5000","5000","40000","40000","40000"
"413","230","SPN","1921","7","18","1926","5","27","-999","-999","-999","-999","-999","-999","1775","1775","25000","0","0","1","21410","207","0","0","0","1","0","0","3","17020","17020","17020","24520","24520","24520"
"413","220","FRN","1925","4","12","1926","5","27","-999","-999","-999","-999","-999","-999","411","411","4000","1","0","4","40610","475","0","0","0","1","0","0","3","2500","2500","2500","24520","24520","24520"
"414","200","UKG","1921","10","-999","1922","2","-999","-999","-999","-999","-999","-999","-999","94","151","137","0","0","4","47168","448","0","0","0","0","1","0","3","137","137","137","2674","3374","2824"
"416","220","FRN","1925","7","18","1927","6","1","-999","-999","-999","-999","-999","-999","684","684","4000","0","0","4","40610","475","0","0","0","1","0","0","3","4000","4000","4000","8000","8000","8000"
"417","200","UKG","1930","12","-999","1932","6","-999","-999","-999","-999","-999","-999","-999","519","578","10000","0","0","4","46008","318","0","0","0","0","1","0","3","70","70","70","1070","3070","1070"
"418","200","UKG","1936","4","20","1939","5","17","-999","-999","-999","-999","-999","-999","1123","1123","2849","0","0","4","47226","336","0","0","0","1","0","0","3","126","126","126","2849","5705","2849"
"420","200","UKG","1945","11","10","1946","10","15","-999","-999","-999","-999","-999","-999","340","340","1000","1","0","4","49110","5090","0","0","0","0","1","0","3","400","400","400","5000","5000","5000"
"420","210","NTH","1945","11","10","1946","10","15","-999","-999","-999","-999","-999","-999","340","340","400","0","0","1","9167","87","0","0","0","0","1","0","3","1,000","1,000","1,000","5000","5000","5000"
"421","220","FRN","1945","12","1","1954","6","1","-999","-999","-999","-999","-999","-999","3105","3105","300000","0","0","4","41330","578","0","0","0","0","1","0","3","40,000","40,000","40,000","365000","365000","365000"
"422","220","FRN","1947","3","29","1948","12","1","-999","-999","-999","-999","-999","-999","614","614","1800","0","0","4","41580","580","0","0","1","0","0","0","3","1180","1180","1180","6952","12180","6952"
"424","200","UKG","1948","6","18","1957","8","31","-999","-999","-999","-999","-999","-999","3362","3362","13000","0","0","4","50080","847","0","0","0","0","1","0","3","502","502","502","10845","10845","10845"
"425","750","IND","1948","9","13","1948","9","17","-999","-999","-999","-999","-999","-999","5","5","1000","0","1","1","349430","321","0","0","0","0","1","0","3","10","10","10","2360","2360","2360"
"426","710","CHN","1950","2","-999","1951","4","-999","-999","-999","-999","-999","-999","-999","398","454","1000","0","1","4","571889","4000","0","0","0","0","1","0","3","-999","3,000","3,000","2000","5000","5000"
"428","220","FRN","1952","-999","-999","1954","-999","-999","-999","-999","-999","-999","-999","-999","367","1096","3000","0","0","4","43330","655","0","0","0","1","0","0","3","38","38","38","715","3000","2000"
"429","200","UKG","1952","10","20","1956","-999","-999","-999","-999","-999","-999","-999","-999","1169","1534","11000","0","0","4","50884","872","0","0","1","0","0","0","3","199","199","199","12955","12955","12955"
"430","220","FRN","1953","-999","-999","1956","-999","-999","-999","-999","-999","-999","-999","-999","732","1461","3000","0","0","4","43628","699","0","0","0","1","0","0","3","-999","-999","-999","3000","3000","3000"
"430","230","SPN","1953","-999","-999","1956","-999","-999","-999","-999","-999","-999","-999","-999","732","1461","0","1","0","1","28528","503","0","0","0","1","0","0","3","-999","-999","-999","3000","3000","3000"
"432","220","FRN","1954","11","1","1962","3","17","-999","-999","-999","-999","-999","-999","2694","2694","18000","0","0","4","43934","745","0","0","0","1","0","0","3","15,788","15,788","15,788","252026","252026","252026"
"433","200","UKG","1955","-999","-999","1960","-999","-999","-999","-999","-999","-999","-999","-999","1463","2192","32000","1","0","4","51358","809","0","0","1","0","0","0","3","-999","-999","-999","100","32000","4270"
"433","220","FRN","1955","-999","-999","1960","-999","-999","-999","-999","-999","-999","-999","-999","1463","2192","0","0","0","4","44270","802","0","0","1","0","0","0","3","-999","417","417","100","32000","4270"
"434","235","POR","1961","2","3","1975","11","11","-999","-999","-999","-999","-999","-999","5395","5395","8000","0","0","1","8872","81","0","0","1","0","0","0","3","4,000","8,000","4,000","55000","90000","79000"
"436","235","POR","1962","12","-999","1974","12","-999","-999","-999","-999","-999","-999","-999","4354","4414","1500","0","0","1","8970","81","0","0","1","0","0","0","3","1,000","1,000","1,000","7155","9990","7155"
"437","235","POR","1964","10","-999","1975","11","-999","-999","-999","-999","-999","-999","-999","4019","4078","5000","0","0","1","9110","123","0","0","1","0","0","0","3","3,500","3,500","3,500","30000","43500","36750"
"439","850","INS","1975","12","7","1977","7","4","-999","-999","-999","-999","-999","-999","576","576","6000","0","1","1","134044","266","0","0","0","0","1","0","3","-999","-999","-999","16000","59250","32000"
"440","560","SAF","1975","10","17","1988","12","13","-999","-999","-999","-999","-999","-999","4807","4807","1000","0","1","1","25446","51","0","0","1","0","0","0","3","800","800","800","25000","25000","25000"
"441","600","MOR","1975","12","11","1983","12","23","-999","-999","-999","-999","-999","-999","2935","2935","9500","0","0","1","17305","61","0","0","0","1","0","0","3","10,600","10,600","10,600","13000","13000","13000"
"441","435","MAA","1975","12","11","1979","8","5","-999","-999","-999","-999","-999","-999","1334","1334","2000","1","0","1","1421","1","0","0","0","1","0","0","3","2,000","2,000","2,000","13000","13000","13000"
"441","615","ALG","1975","12","11","1979","8","5","-999","-999","-999","-999","-999","-999","1334","1334","500","2","0","1","16108","63","0","0","0","1","0","0","3","400","400","400","13000","13000","13000"
